deu-enh,eng,warning,Qid_detail,,,,,,,,,,,,,,,,,,,,,,,,,,,
a gemachtz,stew,,Q2920963,,,,,,,,,,,,,,,,,,,,,,,,,,,
agres,verjuice,,Q1060458,,,,,,,,,,,,,,,,,,,,,,,,,,,
air milch,custard,,Q625825,,,,,,,,,,,,,,,,,,,,,,,,,,,
air pladt,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayer plat,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayr platt,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
aribassen,backerbse,,Q319800,,,,,,,,,,,,,,,,,,,,,,,,,,,
bachem,pastry,,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
baches,pastry,warningPOS,Q477248,,,,,,,,,,,,,,,,,,,,,,,,,,,
bastede,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
basteden,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
basteln,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
bastent,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
bastet,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
basteten,pie,,Q13360264,,,,,,,,,,,,,,,,,,,,,,,,,,,
braden,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
bratt,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
beiguezz,sauce,,Q178359,,,,,,,,,,,,,,,,,,,,,,,,,,,
blamenser,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
blamensir,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
blamensier,Blancmange,,Q59652608,,,,,,,,,,,,,,,,,,,,,,,,,,,
blat,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
blatt,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleter,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
bleteren,pancake,,Q44541,,,,,,,,,,,,,,,,,,,,,,,,,,,
braden,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
braten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
bratten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
brattenn,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
brattes,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
brauten,roast,,Q899561,,,,,,,,,,,,,,,,,,,,,,,,,,,
