deu-enh,eng,warning,Qid_detail
#,berch pork broth,,Q107307697
#,blood roe-deer lung broth,,Q107262041
#,blood vinegar wine broth,,
#,calf head meat,,Q107307325
#,calf heart,,Q67883194
chalbs lungell,calf lung,,Q107307326
#,calf lung broth,,Q107307327
#,calf spleen,,Q107307329
#,calf's trotters broth,,Q107307331
#,calf's trotters wine broth,,Q107307332
#,Krebsfleisch,,Q0
#,veal escalope,,Q67881839
#,capon skin,,Q107304928
#,capon stock,,
#,cheese broth,,Q4448062
#,chicken claw,,Q107304871
#,chicken intestine,,Q107307333
#,chicken skin,,Q28806146
#,chicken stomach broth,,Q107307334
#,crayfish broth,,Q1787022
#,deer kidney,,Q107307336
#,deer lung broth,,Q107336351
#,elderberry,,Q131448
#,fish sausage meat,,
prue von den durren vischenn,fish broth,,
#,forest bird sausage meat,,Q107307337
,giblet broth,,Q33516177
#,ginger broth,,Q107307338
#,goose broth,,Q107307339
#,goose head,,Q107307340
#,goose offal broth,,Q107307342
#,hemp milk,,Q13099103
#,almond skin,,Q0
#,horseradish greens,,Q107307344
#,honey wine broth,,Q0
#,isinglass nut milk broth,,Q107307345
#,jellied milk,,Q107307346
#,northern pike broth,,Q107307349
#,northern pike intestine,,Q107246655
#,northern pike liver,,Q107304849
#,northern pike sausage meat,,Q107304855
#,northern pike skin,,Q107246656
#,northern pike tail,,Q107304832
#,brine,,Q4390435
praett schon von den rephunern,partridge breast,,Q107307350
prat schon von rehuen,partridge breast,,Q107307350
#,partridge neck,,Q107304912
#,partridge sausage meat,,Q107307351
#,pea broth,,Q367225
#,pig bone,,Q11634324
#,pig neck,,Q107307352
#,pig's lung,,Q107307354
#,poultry feet,,Q107307355
#,poultry head,,Q107307356
#,poultry intestine,,Q107307358
#,poultry neck,,Q107307359
#,poultry stomach,,Q107307360
#,quince seed,,Q107262468
#,quince skin,,Q107307362
#,rabbit bone,,Q107307363
#,rabbit broth,,
#,red food coloring,,Q320617
#,roe-deer brain,,Q107304922
#,roe-deer broth,,Q107307364
#,roe-deer offal,,Q107307365
#,roe-deer sausage meat,,Q107307366
#,roe-deer skin,,Q107246734
#,rose juice,,Q107307367
#,rye breadcrumb,,
#,sandalwood sugar,,Q107307368
#,sheep's trotters stock,,Q107307369
#,sour cherry skin,,Q107307371
#,stockfish tail,,Q107304898
#,suckling pig lung,,Q107304893
#,veal broth,,Q59629576
#,vinegar wine broth,,Q0
#,violet sugar,,Q107307374
#,game broth,,
#,water wine broth,,Q107304916
#bauch,calf belly,,Q107246441
#bauch,grayling belly,,Q107246628
#bein,partridge leg,,Q107246698
#blut,asp blood,,Q107246424
#blut,huso blood,,Q107246631
#blut,lamprey blood,,Q107246639
#bret,beef sausage meat,,Q107246432
#brue,almond milk broth,,Q107246423
#brue,egg broth,,Q107246483
#brue,isinglass fish broth,,Q107262037
#brue,juniper berry broth,,Q107246633
#brue,lamprey broth,,Q107246640
#brue,pork broth,,Q107246709
#brue,roe-deer offal broth,,Q107246733
#darm,grayling intestine,,Q107307343
#fleisch,capon meat,,Q107246457
#fleisch,egret meat,,Q107246602
#fleisch,suckling pig meat,,Q107246807
ieuch,meat broth,warningKONTEXT,Q107246643
#fus,suckling pig trotters,,Q107246810
#hals,calf's neck,,Q107246450
kappen hals,capon neck,,Q107246458
kappenn hals,capon neck,,Q107246458
#haubt,capon head,,Q107246453
#haupp,bird's head,,Q107246435
#haut,pig's skin,,Q107246702
#haut,lamprey skin,,Q0
#hautt,stockfish skin,,Q107246756
#hawpp,northern pike head,,Q107246654
#hawt,deer skin,,Q29559979
#hawt,ginger skin,,Q107263042
#hawt,legume skin,,Q107263050
#herz,capon heart,,Q107246454
#herz,roe-deer heart,,Q107246730
#inn,calf offal,,Q107246445
#kern,oat kernel,,Q107262038
#kern,quince core,,Q107307361
#knoch,lamb bone,,Q107246636
#knoch,suckling pig bone,,Q107246759
#knochen,veal bone,,Q107261755
#kopf,lamprey head,,Q107246641
#leber,capon liver,,Q107246455
#leber,quail liver,,
#leberr,suckling pig's liver,,Q107246763
#lorber,bay berry,,Q107263038
#lung,capon lung,,Q107246456
#lunge,rabbit lung,,Q107246725
#magen,calf stomach,,Q107246448
#magen,capon stomach,,Q107246459
#niern,suckling pig kidney,,Q0
#plat,roe pancake,,Q107246736
#pluemben,pear calyx,,Q107262466
#pratig,stockfish filet,,Q107246754
#prue,cabbage broth,,Q107246440
#prue,liver suckling pig broth,,Q107307347
#prue,partridge broth,,Q107246696
#prue,pig's trotters broth,,Q107246706
#prue,sour cherry broth,,Q107246747
#prue,spice broth,,Q107246750
#prue,suckling pig broth,,Q107246760
#prue,venison stock,,Q68361667
#pulver,vinegar powder,,Q107272597
#putter,butter substitute,,Q107261742
#ripp,lamb rib,,Q107262387
schottenn,quark analogue,,Q107261754
#schwanz,lamprey tail,,Q107246642
#smalz,lizard fat,,Q107262388
#taig,funnel cake dough,,Q107261752
#unknown,Ammi visnaga,,Q866203
#unknown,Angelica archangelica,,Q207745
#unknown,Arnica montana,,Q207848
#unknown,beet,,Q165437
#unknown,breckland thyme,,Q147251
#unknown,Carlina acaulis,,Q670377
#unknown,Ceanothus americanus,,Q5055704
#unknown,cowslip,,Q157552
#unknown,Erica vulgaris,,Q21874194
#unknown,Euphrasia officinalis,,Q17813184
#unknown,Ferula assa-foetida,,Q111185
#unknown,Galium,,Q148633
#unknown,Goldmanella sarmentosa,,Q15550808
#unknown,Gratiola officinalis,,Q872969
#unknown,Guaiacum officinale,,Q2051175
#unknown,Hedera helix,,Q26354
#unknown,Helenium,,Q1632842
#unknown,Helleborus niger,,Q147834
#unknown,Hypericum perforatum,,Q158289
#unknown,Imperatoria ostruthium,,Q17140255
#unknown,Lavandula angustifolia,,Q42081
#unknown,lemon balm,,Q148396
#unknown,Leonurus cardiaca,,Q161130
#unknown,Linaria vulgaris,,Q157078
#unknown,Linum usitatissimum,,Q45108
#unknown,Malva sylvestris,,Q156835
#unknown,Marrubium vulgare,,Q157631
#unknown,Marsdenia cundurango,,Q9359009
#unknown,Melilotus officinalis,,Q161160
#unknown,Mentha ×piperita,,Q156037
#unknown,Menyanthes trifoliata,,Q156153
#unknown,Nerium oleander,,Q155833
#unknown,Olea europaea,,Q37083
#unknown,Ononis spinosa,,Q160102
#unknown,oregano,,Q134283
#unknown,Paeonia officinalis,,Q159738
#unknown,Pelargonium reniforme,,Q18080940
#unknown,Petasites officinalis,,Q50857782
#unknown,Pimpinella saxifraga var. major,,Q38439196
#unknown,Pinaceae,,Q101680
#unknown,Potentilla anserina,,Q157815
#unknown,Pulmonaria officinalis,,Q324331
#unknown,Pulsatilla pratensis,,Q148936
#unknown,Quercus robur,,Q165145
#unknown,Rhamnus frangula,,Q11122869
#unknown,Rheum palmatum,,Q1109580
#unknown,Ricinus communis,,Q155867
#unknown,Rubia tinctorum,,Q163641
#unknown,Ruscus aculeatus,,Q161425
#unknown,Sanicula europaea,,Q157846
#unknown,Saponaria officinalis,,Q156841
#unknown,Sarothamnus scoparius,,Q50866636
#unknown,Saxifraga granulata,,Q133867
#unknown,Scilla maritima,,Q21877339
#unknown,Silybum marianum,,Q193798
#unknown,Sinapis alba,,Q146202
#unknown,Smilax utilis,,Q15492862
#unknown,Solanum dulcamara,,Q147707
#unknown,Solidago virgaurea,,Q599435
#unknown,Symphytum officinale,,Q157561
#unknown,Teucrium,,Q157714
#unknown,Thuja occidentalis,,Q147468
#unknown,Tussilago farfara,,Q26302
#unknown,Viscum album,,Q144940
#unknown,White Bryony,,Q157980
#unknown,White dead-nettle,,Q157626
#vogel,songbird,,Q194240
#wempern,veal flank,,Q107261756
#,udder broth,,Q0
ab sinithio,wormwood,,Q25686
abgegilbt,saffron,,Q25434
abgesaltzt,table salt,,Q11254
abgewuertzet,spice,,Q42527
abgewurtzt,spice,,Q42527
abrate,southernwood,,Q79106872
abraten,southernwood,,Q79106872
abraute,southernwood,,Q79106872
abrauten,southernwood,,Q79106872
abrautte,southernwood,,Q79106872
abrautten,southernwood,,Q79106872
abrauttn,southernwood,,Q79106872
abruten,southernwood,,Q79106872
abrutten,southernwood,,Q79106872
absintheum,wormwood,,Q25686
absinthij,wormwood,,Q25686
absintici,wormwood,,Q25686
abslag,shallot,,Q67206407
acetum fortissimum,vinegar,,Q41354
ackcher speys,unsolved,,Q0
ackcher speysß,unsolved,,Q0
acker speiss,unsolved,,Q0
acker spisz milich,unsolved,,Q0
aeder,unsolved,,Q0
ael,eel,,Q79213588
aelhawt,eel skin,,Q96756057
aell,eel,,Q79213588
aellen,eel,,Q79213588
aemlin,sour cherry,,Q68438267
aenesz,anise,,Q33873455
aenis,anise,,Q33873455
aeniss,anise,,Q33873455
aeniß,anise,,Q33873455
aenisz,anise,,Q33873455
aentt,wild duck,,Q7556
aerbaiss,garden pea,,Q29472543
aerbes suppen,pea stock,,Q107246700
aerbis,garden pea,,Q29472543
aerbis koerner,garden pea,,Q29472543
aerbisen,garden pea,,Q29472543
aersen,garden pea,,Q29472543
aerwis bluost,pea blossom,,Q107263051
aerwisz,garden pea,,Q29472543
aerwiszen,garden pea,,Q29472543
aesch,grayling,,Q627960
aeschlouch,shallot,,Q67206407
aeyer,chicken egg,,Q15260613
affter darInn,hindgut,warningANIMAL,Q11083
affter darem,hindgut,warningANIMAL,Q11083
affter darm von dem kalb,calf hindgut,,Q107246444
affter darmm,hindgut,warningANIMAL,Q11083
affter darmm aus ainem chalb,calf hindgut,,Q107246444
affter darmm von ainem kalb,calf hindgut,,Q107246444
affterdarbmm,hindgut,warningANIMAL,Q11083
affterdarmm von dem chalb,calf hindgut,,Q107246444
affterdoermm von dem kalb,calf hindgut,,Q107246444
after darInn,hindgut,warningANIMAL,Q11083
after darmm,hindgut,warningANIMAL,Q11083
aglei,columbine,,Q148929
agraeß,verjuice,,Q1060458
agras,verjuice,,Q1060458
agraz,verjuice,,Q1060458
agres,verjuice,,Q1060458
agresß,verjuice,,Q1060458
agrest,verjuice,,Q1060458
agrest von weimpern,grape juice,,Q1209756
agresten,verjuice,,Q1060458
agrests,verjuice,,Q1060458
agrestsaff,verjuice,,Q1060458
aichel,acorn,,Q3914781
aichellen,acorn,,Q3914781
aicheln,acorn,,Q3914781
aichoren,red squirrel,,Q4388
aichhoren,red squirrel,,Q4388
aichornn,red squirrel,,Q4388
aier,chicken egg,,Q15260613
aier prue,egg stock,,Q107246599
aier schall,eggshell,,Q2731253
aieren,chicken egg,,Q15260613
aiern,chicken egg,,Q15260613
aiger,chicken egg,,Q15260613
aigern,chicken egg,,Q15260613
aigern totter,yolk,,Q16336079
air,chicken egg,,Q15260613
air doteren,yolk,,Q16336079
air pladt,pancake,,Q44541
air prue,egg stock,,Q107246599
air schall,eggshell,,Q2731253
air taig,egg dough,,Q107262035
air tutter,yolk,,Q16336079
airen,chicken egg,,Q15260613
airn,chicken egg,,Q15260613
