deu-enh,eng,warning,Qid_detail
aier schall,eggshell,,Q2731253
air gucken,eggshell,,Q2731253
air schall,eggshell,,Q2731253
aygen pfannen zu dem marcipan,pan for marcipan,,Q0
an richt,sideboard,,Q1762308
an richten,sideboard,warningPOS,Q1762308
anericht,sideboard,,Q1762308
anerichten,sideboard,,Q1762308
angster,pinch bottle,,Q543866
anispissell,skewer,,Q1323569
anngster,pinch bottle,,Q543866
anricht,sideboard,,Q1762308
anrichte,sideboard,,Q1762308
aschen,ash,,Q152079
aschenn,ash,,Q152079
aschn,ash,,Q152079
ayer schall,eggshell,,Q2731253
ayer schaln,eggshell,,Q2731253
ayerschalen,eggshell,,Q2731253
ayr schal,eggshell,,Q2731253
ayr schal,eggshell,,Q2731253
ayr schalen,eggshell,,Q2731253
ayr schall,eggshell,,Q2731253
ayr schallen,eggshell,,Q2731253
air schelffen,eggshell,,Q2731253
bach offenn,baking oven,,Q36539
backofen,baking oven,,Q36539
backoffen,baking oven,,Q36539
backoffenn,baking oven,,Q36539
banck,workbench,,Q347690
bannckh,workbench,,Q347690
becher,cup,,Q81727
becherr,cup,,Q81727
becke,basin,,Q2383211
becken,bowl,,Q153988
beckenn,bowl,,Q153988
beckin,bowl,,Q153988
bisling,gravel,,Q133833
bix,box,warningKONTEXT,Q188075
bladeren,pig's bladder,,Q96756123
blasen,pig's bladder,,Q96756123
bodelin,cutting board,,Q617239
boedelin,cutting board,,Q617239
boeselin,whisk,,Q263057
bouemwollen,cotton,,Q11457
braesß,press,,Q107272838
braeter,cutting board,,Q617239
braett,cutting board,,Q617239
bred,cutting board,,Q617239
brede,cutting board,,Q617239
breder,cutting board,,Q617239
breed,cutting board,,Q617239
brenten,vat,,Q38942
bres,press,,Q107272838
bret,cutting board,,Q617239
breth,cutting board,,Q617239
bretlin,cutting board,,Q617239
brett,cutting board,,Q617239
brette,cutting board,,Q617239
buetel tuoch,bag,,Q1323314
bueteltuoch,bag,,Q1323314
chacheloffenn,masonry heater,,Q388294
chachelloffen,masonry heater,,Q388294
chalch ofen,lime kiln,,Q59772
chalt guß,lye,,Q2122650
chalt gussen,lye,,Q2122650
chalt gwsß,lye,,Q2122650
chalten gusß,lye,,Q2122650
chaltgossen,lye,,Q2122650
chaltguß,lye,,Q2122650
char,bowl,,Q153988
chas kar,cheese mold,,Q107272832
cherczen schafft,candle stick,,Q12888135
cheschell,cauldron,,Q1317634
chessel,cauldron,,Q1317634
chessell,cauldron,,Q1317634
chessellein,cauldron,,Q1317634
chessl,cauldron,,Q1317634
chisling,gravel,,Q133833
chluetel,ember,,Q177257
chluett,ember,,Q177257
chnospel,unsolved,,Q0
chochloeffel,wooden spoon,,Q1762390
choechloffel,wooden spoon,,Q1762390
choeler,ember,,Q177257
choeln von wilden oelpawmen,ember,,Q177257
choepph,pie pot,warningKONTEXT,Q107272929
chol,ember,,Q177257
cholenn,ember,,Q177257
choll,ember,,Q177257
chollen,ember,,Q177257
choller,ember,,Q177257
choln,ember,,Q177257
chopf,cooking pot,warningKONTEXT,Q2366864
chopff,cooking pot,warningKONTEXT,Q2366864
choph,pie pot,warningKONTEXT,Q107272929
choppf,cooking pot,warningKONTEXT,Q2366864
chopph,cooking pot,warningKONTEXT,Q2366864
chossel,cauldron,,Q1317634
chraclas clas,pinch bottle,,Q543866
chraeglacz glas,pinch bottle,,Q543866
chrapfen eyssenn,fried dumpling cutter,,Q107272835
chrawdt,dividing cross,,Q107272841
chrawssen,container,,Q987767
chrawt,dividing cross,,Q107272841
chreglats glas,pinch bottle,,Q543866
chreglacz glas,pinch bottle,,Q543866
chreglacz glasz,pinch bottle,,Q543866
chrewcz,cross shaping tool,,Q107272833
chrueg,jug,,Q2413314
chruegs,jug,,Q2413314
chuchel von holcz dy an der mit gros sein dann an den oertteren,morel mold,,Q0
chuedt,ember,,Q177257
chyslinger,pebble,,Q14673
ckalt gossen,lye,,Q2122650
ckaren,container,,Q987767
ckessell,cauldron,,Q1317634
ckrawssen,container,,Q987767
clas,pinch bottle,,Q543866
cleim,loam,,Q1131303
clueppelin,skewer,,Q1323569
collenn,ember,,Q177257
copf,cooking pot,warningKONTEXT,Q2366864
copff,cooking pot,warningKONTEXT,Q2366864
cziegel,brick,,Q40089
cziegell,brick,,Q40089
cziegelstein,brick,,Q40089
czweckly,skewer,,Q1323569
czwicklyn,skewer,,Q1323569
czwey ergraben huelczer inder formen als ein raphuene,partridge mold,,Q107272868
czwen stekchen vornn kulpat als die maurochen,morel shaping tool,,Q107272837
dacht,candle wick,,Q849004
dampf,steam,,Q3251738
deck,lid,warningKONTEXT,Q2488579
decke,lid,warningKONTEXT,Q2488579
deckel,lid,,Q2488579
deckh,lid,,Q2488579
deckhe,lid,,Q2488579
dekchell,lid,,Q2488579
deckhel,lid,,Q2488579
degel,cooking pot,,Q2366864
deigphannen,pie pot,,Q107272929
dekch,lid,warningKONTEXT,Q2488579
deller,plate,,Q57216
dimpten,ink,,Q127418
dinten,ink,,Q127418
dintten,ink,,Q127418
dorten pfendlin,dutch oven,warningKONTEXT,Q262515
dorten pfendlin,cake pan,warningKONTEXT,Q107196521
driefues,tripod,,Q1257352
driefuezs,tripod,,Q1257352
drifuees,tripod,,Q1257352
drifues,tripod,,Q1257352
drifuess,tripod,,Q1257352
drifuezs,tripod,,Q1257352
drifuezz,tripod,,Q1257352
drifuos,tripod,,Q1257352
drifuoz,tripod,,Q1257352
drifuß,tripod,,Q1257352
drifusz,tripod,,Q1257352
drog,vat,,Q38942
dryffueß,tripod,,Q1257352
dryfues,tripod,,Q1257352
dryfuess,tripod,,Q1257352
dryfussz,tripod,,Q1257352
dryfusz,tripod,,Q1257352
duch,cheesecloth,,Q2621157
duche,cheesecloth,,Q2621157
duchelin,cheesecloth,,Q2621157
duech,cheesecloth,,Q2621157
duechelgin,cheesecloth,,Q2621157
duoch,cheesecloth,,Q2621157
durch gang,sieve,,Q381155
durch schlag,sieve,,Q381155
durchschlag,sieve,,Q381155
eier schalen,eggshell,,Q2731253
eier schalle,eggshell,,Q2731253
eier schallen,eggshell,,Q2731253
eiger schalen,eggshell,,Q2731253
eisen,unsolved,,Q0
eisen,waffle iron,,Q1139975
eppfellpawmynn koln,ember,,Q177257
eschen,ash,,Q152079
eschenn,ash,,Q152079
ess loffel,eating spoon,,Q2002583
ess loffele,eating spoon,,Q2002583
esze,ash,,Q152079
eyer schaln,eggshell,,Q2731253
eysnen loffel,iron spoon,,Q107272867
eysnen loffl,iron spoon,,Q107272867
faden,thread,,Q1391831
fadenn,thread,,Q1391831
faedern,feather,,Q81025
faeslin,barrel,,Q10289
